timestamp,bgp_update_rate
2026-07-10 12:13:00+00:00,34586
2026-07-10 12:14:00+00:00,26867
2026-07-10 12:15:00+00:00,174
2026-07-10 18:00:00+00:00,36589
2026-07-10 18:01:00+00:00,33476
2026-07-10 18:02:00+00:00,29060
2026-07-10 18:03:00+00:00,27645
2026-07-10 18:04:00+00:00,25327
2026-07-10 18:05:00+00:00,22851
2026-07-10 18:06:00+00:00,34053
2026-07-10 18:07:00+00:00,32607
2026-07-10 18:08:00+00:00,27757
2026-07-10 18:09:00+00:00,27678
2026-07-10 18:10:00+00:00,36287
2026-07-10 18:11:00+00:00,38595
2026-07-10 18:12:00+00:00,29191
2026-07-10 18:13:00+00:00,50240
2026-07-10 18:14:00+00:00,34305
2026-07-10 18:15:00+00:00,465
2026-07-11 00:00:00+00:00,52728
2026-07-11 00:01:00+00:00,30429
2026-07-11 00:02:00+00:00,29468
2026-07-11 00:03:00+00:00,26238
2026-07-11 00:04:00+00:00,21005
2026-07-11 00:05:00+00:00,23308
2026-07-11 00:06:00+00:00,24203
2026-07-11 00:07:00+00:00,31569
2026-07-11 00:08:00+00:00,58561
2026-07-11 00:09:00+00:00,37034
2026-07-11 00:10:00+00:00,29637
2026-07-11 00:11:00+00:00,25143
2026-07-11 00:12:00+00:00,21229
2026-07-11 00:13:00+00:00,26202
2026-07-11 00:14:00+00:00,28436
2026-07-11 00:15:00+00:00,212
2026-07-11 06:00:00+00:00,37324
2026-07-11 06:01:00+00:00,27549
2026-07-11 06:02:00+00:00,25359
2026-07-11 06:03:00+00:00,24560
2026-07-11 06:04:00+00:00,24113
2026-07-11 06:05:00+00:00,20602
2026-07-11 06:06:00+00:00,25053
2026-07-11 06:07:00+00:00,24824
2026-07-11 06:08:00+00:00,23843
2026-07-11 06:09:00+00:00,24769
2026-07-11 06:10:00+00:00,21848
2026-07-11 06:11:00+00:00,42226
2026-07-11 06:12:00+00:00,23967
2026-07-11 06:13:00+00:00,24454
2026-07-11 06:14:00+00:00,25577
2026-07-11 06:15:00+00:00,125
2026-07-11 12:00:00+00:00,113538
2026-07-11 12:01:00+00:00,49076
2026-07-11 12:02:00+00:00,31530
2026-07-11 12:03:00+00:00,28429
2026-07-11 12:04:00+00:00,27415
2026-07-11 12:05:00+00:00,36208
2026-07-11 12:06:00+00:00,26795
2026-07-11 12:07:00+00:00,31579
2026-07-11 12:08:00+00:00,21566
2026-07-11 12:09:00+00:00,30942
2026-07-11 12:10:00+00:00,25569
2026-07-11 12:11:00+00:00,26632
2026-07-11 12:12:00+00:00,51094
2026-07-11 12:13:00+00:00,29589
2026-07-11 12:14:00+00:00,31301
2026-07-11 12:15:00+00:00,26
2026-07-11 18:00:00+00:00,49345
2026-07-11 18:01:00+00:00,52545
2026-07-11 18:02:00+00:00,30277
2026-07-11 18:03:00+00:00,41665
2026-07-11 18:04:00+00:00,59715
2026-07-11 18:05:00+00:00,42605
2026-07-11 18:06:00+00:00,30537
2026-07-11 18:07:00+00:00,25668
2026-07-11 18:08:00+00:00,23979
2026-07-11 18:09:00+00:00,21980
2026-07-11 18:10:00+00:00,25563
2026-07-11 18:11:00+00:00,25717
2026-07-11 18:12:00+00:00,25108
2026-07-11 18:13:00+00:00,27687
2026-07-11 18:14:00+00:00,22296
2026-07-11 18:15:00+00:00,263
2026-07-12 00:00:00+00:00,69040
2026-07-12 00:01:00+00:00,29832
2026-07-12 00:02:00+00:00,39170
2026-07-12 00:03:00+00:00,38256
2026-07-12 00:04:00+00:00,32057
2026-07-12 00:05:00+00:00,23059
2026-07-12 00:06:00+00:00,21289
2026-07-12 00:07:00+00:00,21851
2026-07-12 00:08:00+00:00,26583
2026-07-12 00:09:00+00:00,32895
2026-07-12 00:10:00+00:00,23428
2026-07-12 00:11:00+00:00,22986
2026-07-12 00:12:00+00:00,22796
2026-07-12 00:13:00+00:00,23556
2026-07-12 00:14:00+00:00,24939
2026-07-12 00:15:00+00:00,49
2026-07-12 06:00:00+00:00,40429
2026-07-12 06:01:00+00:00,29700
2026-07-12 06:02:00+00:00,36745
2026-07-12 06:03:00+00:00,44946
2026-07-12 06:04:00+00:00,31481
2026-07-12 06:05:00+00:00,23335
2026-07-12 06:06:00+00:00,30623
2026-07-12 06:07:00+00:00,41816
2026-07-12 06:08:00+00:00,44654
2026-07-12 06:09:00+00:00,28274
2026-07-12 06:10:00+00:00,31404
2026-07-12 06:11:00+00:00,42325
2026-07-12 06:12:00+00:00,25274
2026-07-12 06:13:00+00:00,25660
2026-07-12 06:14:00+00:00,31226
2026-07-12 06:15:00+00:00,482
2026-07-12 12:00:00+00:00,54861
2026-07-12 12:01:00+00:00,31922
2026-07-12 12:02:00+00:00,30174
2026-07-12 12:03:00+00:00,28671
2026-07-12 12:04:00+00:00,33523
2026-07-12 12:05:00+00:00,22203
2026-07-12 12:06:00+00:00,23433
2026-07-12 12:07:00+00:00,25129
2026-07-12 12:08:00+00:00,22714
2026-07-12 12:09:00+00:00,29864
2026-07-12 12:10:00+00:00,23936
2026-07-12 12:11:00+00:00,25659
2026-07-12 12:12:00+00:00,25074
2026-07-12 12:13:00+00:00,22796
2026-07-12 12:14:00+00:00,26717
2026-07-12 12:15:00+00:00,273
2026-07-12 18:00:00+00:00,44421
2026-07-12 18:01:00+00:00,30877
2026-07-12 18:02:00+00:00,26665
2026-07-12 18:03:00+00:00,26472
2026-07-12 18:04:00+00:00,24400
2026-07-12 18:05:00+00:00,21019
2026-07-12 18:06:00+00:00,24687
2026-07-12 18:07:00+00:00,23345
2026-07-12 18:08:00+00:00,21881
2026-07-12 18:09:00+00:00,22815
2026-07-12 18:10:00+00:00,24413
2026-07-12 18:11:00+00:00,39516
2026-07-12 18:12:00+00:00,26161
2026-07-12 18:13:00+00:00,24442
2026-07-12 18:14:00+00:00,28278
2026-07-12 18:15:00+00:00,325
